crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
231516361,2023-10-20,2023-10-20,145,15,N Hollywood,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),36,F,A,12300    DORAN                        PL,34.2074,-118.4020
231221673,2023-10-20,2023-10-20,2050,12,77th Street,210,ROBBERY,26,F,O,1800 W  48TH                         ST,34.0001,-118.3113
230915571,2023-10-20,2023-10-20,955,9,Van Nuys,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,X,7600 N  SEPULVEDA                    BL,34.2085,-118.4698
230915526,2023-10-20,2023-10-02,500,9,Van Nuys,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",53,F,O,7000    VAN NUYS                     BL,34.1976,-118.4443
231221646,2023-10-20,2023-09-14,630,12,77th Street,510,VEHICLE - STOLEN,0,X,X,800 W  70TH                         ST,33.9764,-118.2871
230915495,2023-10-20,2023-10-13,800,9,Van Nuys,510,VEHICLE - STOLEN,0,X,X,13900    SHERMAN                      WY,34.2050,-118.4339
231114768,2023-10-20,2023-10-20,130,11,Northeast,210,ROBBERY,32,F,H,2600 N  FIGUEROA                     ST,34.0839,-118.2224
231319244,2023-10-20,2023-09-20,1900,13,Newton,510,VEHICLE - STOLEN,0,X,X,100 W  66TH                         ST,33.9796,-118.2739
230915594,2023-10-20,2023-10-16,1730,9,Van Nuys,330,BURGLARY FROM VEHICLE,63,M,X,6600    VAN NUYS                     BL,34.1907,-118.4487
231319262,2023-10-20,2023-09-23,405,13,Newton,440,THEFT PLAIN - PETTY ($950 & UNDER),21,F,O,300 W  ADAMS                        BL,34.0289,-118.2686
231221622,2023-10-20,2023-10-20,110,12,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,F,H,DENKER                       AV,34.0019,-118.3046
232016881,2023-10-20,2023-10-13,2300,20,Olympic,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",17,F,H,1600 S  NORMANDIE                    AV,34.0437,-118.3029
231818167,2023-10-20,2023-10-20,1,18,Southeast,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,H,113TH                        ST,33.9320,-118.2739
231221624,2023-10-20,2023-10-20,410,12,77th Street,310,BURGLARY,0,X,X,300 W  FLORENCE                     AV,33.9747,-118.2783
232115493,2023-10-20,2023-10-19,1540,21,Topanga,510,VEHICLE - STOLEN,0,X,X,4900    DUNMAN                       AV,34.1591,-118.6269
230716103,2023-10-20,2023-10-20,1347,7,Wilshire,888,TRESPASSING,57,M,W,6400    COLGATE                      AV,34.0694,-118.3645
231114734,2023-10-20,2023-10-13,2100,11,Northeast,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,2000 N  FIGUEROA                     ST,34.0884,-118.2258
231014954,2023-10-20,2023-10-20,1245,10,West Valley,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,24,F,H,15900    VENTURA                      BL,34.1558,-118.4793
230915524,2023-10-20,2023-10-20,1000,9,Van Nuys,310,BURGLARY,37,F,O,6700 N  SEPULVEDA                    BL,34.1938,-118.4702
230915504,2023-10-20,2023-10-19,605,9,Van Nuys,350,"THEFT, PERSON",51,M,H,6900 N  SEPULVEDA                    BL,34.1938,-118.4702
231221642,2023-10-20,2023-10-19,2230,12,77th Street,210,ROBBERY,44,F,B,79TH                         ST,33.9679,-118.2783
232115496,2023-10-20,2023-10-20,1845,21,Topanga,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,F,W,SHERMAN                      WY,34.2011,-118.5906
231221613,2023-10-20,2023-10-20,308,12,77th Street,510,VEHICLE - STOLEN,0,X,X,69TH                         ST,33.9774,-118.2827
231221657,2023-10-20,2023-10-20,1234,12,77th Street,210,ROBBERY,34,M,H,7100 S  VERMONT                      AV,33.9755,-118.2914
232115499,2023-10-20,2023-07-11,1800,21,Topanga,626,INTIMATE PARTNER - SIMPLE ASSAULT,45,F,O,22000    OXNARD                       ST,34.1828,-118.6102
231419093,2023-10-20,2023-10-19,1330,14,Pacific,888,TRESPASSING,0,X,X,13400    MAXELLA                      AV,33.9867,-118.4413
231221676,2023-10-20,2023-10-13,1200,12,77th Street,310,BURGLARY,0,X,X,900 W  79TH                         ST,33.9693,-118.2850
231221647,2023-10-20,2023-10-19,1930,12,77th Street,510,VEHICLE - STOLEN,0,X,X,78TH                         ST,33.9689,-118.2783
231221653,2023-10-20,2023-10-20,1430,12,77th Street,624,BATTERY - SIMPLE ASSAULT,27,F,H,7900 S  BROADWAY,33.9679,-118.2783
